# Worksheet from a YouTube playlist. Fill in the YEAR on every line,
# fix any artist/title the guesser got wrong, then:
#     python tools/build_deck.py import decks/from-playlist.tsv
#
# No API gives a trustworthy original release year, and none of these
# titles carry one, so the years have to be yours. Delete any line you
# do not want in the deck.
#
# year <TAB> artist_latin <TAB> title_latin <TAB> artist_am <TAB> title_am <TAB> youtube_url
?	Michael Belayneh	Tizita			https://www.youtube.com/watch?v=lRJNQCT1acM	# Michael Belayneh - - Tizita - ትዝታ
?		Lalaterf			https://www.youtube.com/watch?v=94kcrRJHMn4	# Lalaterf
?		Ayne Hulgeze			https://www.youtube.com/watch?v=pnr_dMS6SnY	# Ayne Hulgeze
?		Johnny Raga . K'ayln Shftaw Lbu Unfaithful Heart ጆኒ ራጋ እና ካይልን ሽፍታው ልቡ የሙዚቃ ግጥም			https://www.youtube.com/watch?v=QRQdJ1_sZkY	# Johnny Raga Ft. K'ayln Shftaw Lbu Unfaithful Heart Music Lyr
?		Negregne			https://www.youtube.com/watch?v=sY7V7cIfEbw	# Negregne
?		Lemen Yehon			https://www.youtube.com/watch?v=e5rplUi4Y3E	# Lemen Yehon
?		sew mekrosh			https://www.youtube.com/watch?v=SA67Mdqs9xg	# sew mekrosh
?		Wede Ager Bet			https://www.youtube.com/watch?v=v2dHs5qDNNI	# Wede Ager Bet
?		Endet Lichal			https://www.youtube.com/watch?v=COyD47qhBGk	# Endet Lichal
?		Yasebeshal			https://www.youtube.com/watch?v=RQBhuRLas2A	# Yasebeshal
?		Baybay			https://www.youtube.com/watch?v=FZBDR37A_xA	# Baybay
?		Teddy Afro leman lemash ለማን ልማሽ			https://www.youtube.com/watch?v=l-sbb6hPV0Q	# Teddy Afro (Tewodros Kassahun) leman lemash ለማን ልማሽ
?		Kome			https://www.youtube.com/watch?v=xeChGeSYShQ	# Kome
?		Egnan Mayet			https://www.youtube.com/watch?v=HtypKtMVxj8	# Egnan New Mayet
?		Chuh Chuh			https://www.youtube.com/watch?v=EZ6qgkNqc4I	# Chuh Chuh
?	ሌላአለም ማናዬ የእኔ ነሽ ከግጥሙ ጋር	Lelaalem Manaye Yene nesh			https://www.youtube.com/watch?v=LJH3BN2CrKk	# ሌላአለም ማናዬ የእኔ ነሽ ከግጥሙ ጋር | Lelaalem Manaye Yene nesh with ly
?	Teddy Afro	Nigeregn Kalshign			https://www.youtube.com/watch?v=ZWPeWQmGP7I	# Teddy Afro - Nigeregn Kalshign [Official Video]
?		Athijibgne			https://www.youtube.com/watch?v=b7_FlqL4nLk	# Athijibgne
?		Yafekeresh Libbe			https://www.youtube.com/watch?v=yIVvt8IGRPQ	# Yafekeresh Libbe
?	Ethiopia	Bisrat Garedew			https://www.youtube.com/watch?v=eEM9hu46qSg	# Ethiopia Music - Bisrat Garedew (Official Music Video)
?	Bisrat Garedew	Salamnibet			https://www.youtube.com/watch?v=Hpx8AnTi70U	# Bisrat Garedew - Salamnibet - ብስራት ጋረደው - ሳላምንበት - Ethiopian
?	Ephrem Tamiru	Negresh Nebere			https://www.youtube.com/watch?v=PQ_ozPQvGWM	# Ephrem Tamiru - Negresh Nebere - ኤፍሬም ታምሩ - ነግሬሽ ነበረ - Ethio
?	Tsehaye Yohannes	Blen | ብሌን			https://www.youtube.com/watch?v=QNLw_n_WpDw	# Tsehaye Yohannes - Blen | ብሌን (Official Music Video)
?	Yehunie Belay	“Zegelila”			https://www.youtube.com/watch?v=yV5-fE192og	# Yehunie Belay – “Zegelila” (ዘገሊላ) | Official Music Video
?	Uzaza Aleyna	Helen Berhe			https://www.youtube.com/watch?v=8yOfFtOHL_4	# Ethiopian Music | Uzaza Aleyna |  Helen Berhe | ኡዛዛ አሌና | ሔለ
?	እዮብ መኮንን -- Yzebarkalu	ይዘባርቃሉ || Old			https://www.youtube.com/watch?v=DxGu_SFPZgg	# እዮብ መኮንን -- Yzebarkalu(Lyrics) _ ይዘባርቃሉ ||  Ethiopian Old Mu
